what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1348735401402
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1348735402703
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1348735404434
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1348735404565
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1348735405459
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1348735407235
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1348735408653
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1348735408758
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1348735408952
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1348735409592
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1348735409594
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.505.v201202020200,"org.eclipse.jst.j2ee.ejb",1348735409878
started,bundle,org.eclipse.jst.j2ee.jca,1.1.501.v201111030500,"org.eclipse.jst.j2ee.jca",1348735410019
started,bundle,com.dubture.twig.core,1.0.102,"com.dubture.twig.core",1348735413240
started,bundle,com.dubture.symfony.core,1.0.69,"com.dubture.symfony.core",1348735413681
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1348735418486
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1348735427103
started,bundle,com.google.gdt.eclipse.suite,3.1.0.v201208080120-rel-r37,"com.google.gdt.eclipse.suite",1348735427140
error,log,,,"The ''org.eclipse.jpt.jpa.ui.internal.jpql.JpaJpqlSseCompletionProposalComputer'' proposal computer from the ''org.eclipse.jpt.jpa.ui'' plug-in did not complete normally. Unable to instantiate the extension.",1348735427198
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1348735427531
error,log,,,"Unhandled event loop exception",1348735431400
error,log,,,"Unhandled event loop exception",1348735440516
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348735466655
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1348735555414
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348735707209
error,log,,,"Unhandled event loop exception",1348735707215
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348735743992
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348735757993
error,log,,,"Unhandled event loop exception",1348735757998
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348735783133
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.add.block.comment",1348735833474
error,log,,,"Unhandled event loop exception",1348735843030
error,log,,,"Unhandled event loop exception",1348735852822
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348735855878
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348735870903
error,log,,,"Unhandled event loop exception",1348735870910
error,log,,,"Unhandled event loop exception",1348735919104
error,log,,,"Unhandled event loop exception",1348735924671
error,log,,,"Unhandled event loop exception",1348735925614
started,bundle,org.eclipse.wb.os,1.5.0.r37x201206111201,"org.eclipse.wb.os",1348735926796
started,bundle,org.eclipse.wb.os.win32,1.5.0.r37x201206111201,"org.eclipse.wb.os.win32",1348735926824
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1348735939841
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348735940417
error,log,,,"An error has occurred when activating this view",1348735940435
error,log,,,"Error occurred during status handling",1348735940438
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1348735940442
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348735940467
error,log,,,"Unhandled event loop exception",1348735940475
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1348735941102
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1348735941140
error,log,,,"Unhandled event loop exception",1348735942286
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1348735944478
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1348735944492
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1348735949824
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1348735949908
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1348735949930
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1348735949944
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1348735956872
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1348735956884
error,log,,,"Unhandled event loop exception",1348735957662
error,log,,,"Unhandled event loop exception",1348735959198
error,log,,,"Unhandled event loop exception",1348735960478
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1348735961430
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1348735961443
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1348735961477
